,date,TMAX,TMIN,TAVG
15,2020-12-30,44.0,7.0,25.5
15,2019-12-30,31.0,3.0,17.0
16,2011-12-31,54.0,20.0,37.0
16,2016-12-31,41.0,13.0,27.0
16,2014-01-16,44.0,24.0,34.0
16,2017-12-31,25.0,4.0,14.5
16,2008-12-31,53.0,18.0,35.5
16,2020-12-31,43.0,19.0,31.0
16,2019-12-31,44.0,18.0,31.0
16,2021-12-31,39.0,9.0,24.0
16,2010-12-31,9.0,0.0,4.5
16,2009-12-31,36.0,8.0,22.0
16,2022-12-31,49.0,26.0,37.5
16,2018-12-31,32.0,0.0,16.0
16,2012-12-31,23.0,10.0,16.5
16,2015-12-31,24.0,4.0,14.0
16,2014-12-31,30.0,-13.0,8.5
17,2020-01-01,50.0,24.0,37.0
17,2018-01-01,28.0,3.0,15.5
17,2022-01-01,8.0,-9.0,-0.5
17,2019-01-01,12.0,-5.0,3.5
17,2012-01-01,36.0,18.0,27.0
17,2014-01-17,55.0,20.0,37.5
17,2023-01-01,34.0,23.0,28.5
17,2013-01-01,27.0,5.0,16.0
17,2010-01-01,40.0,12.0,26.0
17,2009-01-01,54.0,36.0,45.0
17,2021-01-01,42.0,22.0,32.0
17,2015-01-01,26.0,5.0,15.5
17,2017-01-01,47.0,16.0,31.5
17,2011-01-01,19.0,2.0,10.5
17,2016-01-01,35.0,6.0,20.5
18,2019-01-02,38.0,2.0,20.0
18,2011-01-02,37.0,13.0,25.0
18,2023-01-02,28.0,24.0,26.0
18,2018-01-02,43.0,11.0,27.0
18,2014-01-18,54.0,27.0,40.5
18,2022-01-02,40.0,7.0,23.5
18,2017-01-02,52.0,15.0,33.5
18,2015-01-02,35.0,11.0,23.0
18,2012-01-02,52.0,20.0,36.0
18,2020-01-02,45.0,27.0,36.0
18,2013-01-02,32.0,14.0,23.0
18,2021-01-02,52.0,23.0,37.5
18,2010-01-02,40.0,16.0,28.0
18,2016-01-02,41.0,16.0,28.5
18,2009-01-02,63.0,32.0,47.5
19,2009-01-03,45.0,16.0,30.5
19,2020-01-03,48.0,19.0,33.5
19,2011-01-03,29.0,7.0,18.0
19,2021-01-03,53.0,23.0,38.0
19,2019-01-03,56.0,16.0,36.0
19,2018-01-03,53.0,17.0,35.0
19,2015-01-03,35.0,-5.0,15.0
19,2023-01-03,25.0,16.0,20.5
19,2017-01-03,32.0,10.0,21.0
19,2014-01-19,65.0,35.0,50.0
19,2012-01-03,56.0,27.0,41.5
19,2013-01-03,34.0,12.0,23.0
19,2010-01-03,36.0,16.0,26.0
19,2022-01-03,51.0,22.0,36.5
19,2016-01-03,46.0,15.0,30.5
20,2016-01-04,45.0,18.0,31.5
20,2018-01-04,50.0,23.0,36.5
20,2012-01-04,60.0,23.0,41.5
